'resource_group_id','display_label','description'
'ijo5H_rOldygpIrdZ2epZQ','fs2_Microsoft IIS','Set of M&amp;EaaS best practices Thresholds for Microsoft IIS'
'8qYPT54aBojYMUbKovyCWg','fs2_Microsoft SQL Server','Set of M&amp;EaaS best practices Thresholds for Microsoft SQL Server'
'kx21sYWqPFQRB4_s8idU-w','fs2_MongoDB Database','Set of M&amp;EaaS best practices Thresholds for MongoDB Database'
'IgPbip26xe_x9SN8zW7p2A','fs2_Oracle','Set of M&amp;EaaS best practices Thresholds for Oracle'
'6Rg9VPtkDx8VCQPc0ZkoGw','fs2_PostgreSQL Server','Set of M&amp;EaaS best practices Thresholds for PostgreSQL Server'
'NXBfjvDbZfNScrSr8FYBvQ','fs2_RedHat Linux OS','Set of M&amp;EaaS best practices Thresholds for RedHat Linux operating system'
'pixD-ZQ9ksGnegRzi4e5cw','fs2_Ruby Applications','Set of M&amp;EaaS best practices Thresholds for Ruby Applications'
'UhF6bC3VZy9LAMsU617sMQ','fs2_SUSE Linux OS','Set of M&amp;EaaS best practices Thresholds for SUSE Linux Operating System'
'4f6aUiuyqsKJWWQfIF0QpQ','fs2_Synthetic Playback','Set of M&amp;EaaS best practices Thresholds for Synthetic Playback agent'
'gEciIGs-Oi0HzOPeJhtrCg','fs2_Tomcat Server','Set of M&amp;EaaS best practices Thresholds for Tomcat Server'
'6piMbX3fPYSYiwJNgtrFlg','fs2_VMware VI','Set of M&amp;EaaS best practices Thresholds for VMware VI'
'F_uYV-7Z8xnt26Jyx8sa4A','fs2_Web Response Time','Set of M&amp;EaaS best practices Thresholds for Web Response Time'
'xey1l-7jxNY61K5bNUJS3g','fs2_WebSphere Applications','Set of M&amp;EaaS best practices Thresholds for WebSphere Applications'
'hjTBzBga4sStwzscBslQcw','fs2_WebSphere MQ','Set of M&amp;EaaS best practices Thresholds for WebSphere MQ'
'VJT4uq_dxZ9g0BcRHTBZWg','fs2_Windows OS','Set of M&amp;EaaS best practices Thresholds for Windows operating system'
'akP_TC52qoOlnD0SvHf_Ug','fs2_Windows OS (GSMA)','Set of M&amp;EaaS best practices Thresholds for Windows operating system (GSMA/BlueCARE Agent)'
'QlHzFnqmUehEP3qQzETFMw','fs3_Cassandra Database','Set of M&amp;EaaS best practices Thresholds for Cassandra Database'
'mYcsSZ18z0qxQk8FRRnLRQ','fs3_HMC Base','Set of M&amp;EaaS best practices Thresholds for HMC'
'INsykyrFDvg-P1fZZUsTcw','fs3_HTTP Server','Set of M&amp;EaaS best practices Thresholds for HTTP Server (Apache, IBM HTTP Server)'
'vuWg90vyLBFsQEDpojHDiQ','fs3_IBM Spectrum Protect','Set of M&amp;EaaS Best Practices Thresholds for IBM Spectrum Protect (TSM)'
'f6Wm2ywk8IsxYGEVeIlXAA','fs3_IBM Workload Scheduler','Set of M&amp;EaaS Best Practices Thresholds for IBM Workload Scheduler (TWS)'
'0mAetCnNPCSBnhs3sxiH_Q','fs3_Linux OS','Set of M&amp;EaaS best practices Thresholds for Linux operating systems (SUSE/RedHat)'
'i4YznfZ1NFg8Zt9EW5-9ng','fs3_Linux OS (GSMA)','Set of M&amp;EaaS best practices Thresholds for Linux operating system (GSMA/BlueCARE Agent)'
'l6SF04k1EwEhUXZW1Cpqvg','fs3_LogFiles','Set of M&amp;EaaS best practices Thresholds for Log Files'
'LPFqaTvy713paDjSykJchA','fs3_Microsoft Cluster Server','Set of M&amp;EaaS best practices Thresholds for Microsoft Cluster Server'
'6Pm8dGjldXc0F0a2SgVe3Q','fs3_Microsoft Exchange','Set of M&amp;EaaS best practices Thresholds for MS Exchange'
'zFDLgDBgL6JfRalypaJGFA','fs3_Microsoft IIS','Set of M&amp;EaaS best practices Thresholds for Microsoft IIS'
'1xeusGDLhMIShrA7AMrnrg','fs3_Microsoft SQL Server','Set of M&amp;EaaS best practices Thresholds for Microsoft SQL Server'
'Virb6cbPnqir_0q6DgQK8w','fs3_MongoDB Database','Set of M&amp;EaaS best practices Thresholds for MongoDB Database'
'UX8pESmXtq0E9TxtAgaVLQ','fs3_Oracle','Set of M&amp;EaaS best practices Thresholds for Oracle'
